book_id,title,category,publisher,price,page_count,currency
B0001,도서 001,과학,하출판사,13000,250,KRW
B0002,도서 002,여행,마출판사,13000,227,KRW
B0003,도서 003,인문,사출판사,29000,233,KRW
B0004,도서 004,인문,파출판사,37000,626,KRW
B0005,도서 005,인문,파출판사,9000,489,KRW
B0006,도서 006,경제경영,차출판사,16000,372,KRW
B0007,도서 007,소설,아출판사,42000,343,KRW
B0008,도서 008,자기계발,타출판사,36000,522,KRW
B0009,도서 009,경제경영,다출판사,24000,200,KRW
B0010,도서 010,여행,다출판사,12000,326,KRW
B0011,도서 011,인문,하출판사,9000,427,KRW
B0012,도서 012,소설,가출판사,44000,125,KRW
B0013,도서 013,인문,하출판사,19000,298,KRW
B0014,도서 014,과학,타출판사,29000,191,KRW
B0015,도서 015,자기계발,가출판사,23000,420,KRW
B0016,도서 016,자기계발,사출판사,19000,530,KRW
B0017,도서 017,여행,마출판사,17000,159,KRW
B0018,도서 018,과학,타출판사,25000,161,KRW
B0019,도서 019,여행,파출판사,26000,592,KRW
B0020,도서 020,소설,차출판사,34000,217,KRW
B0021,도서 021,소설,거출판사,18000,579,KRW
B0022,도서 022,인문,가출판사,22000,532,KRW
B0023,도서 023,인문,차출판사,14000,205,KRW
B0024,도서 024,자기계발,타출판사,36000,516,KRW
B0025,도서 025,경제경영,파출판사,41000,151,KRW
B0026,도서 026,인문,나출판사,18000,221,KRW
B0027,도서 027,경제경영,가출판사,39000,511,KRW
B0028,도서 028,소설,차출판사,36000,241,KRW
B0029,도서 029,여행,라출판사,16000,367,KRW
B0030,도서 030,인문,아출판사,9000,343,KRW
B0031,도서 031,과학,가출판사,15000,637,KRW
B0032,도서 032,소설,가출판사,33000,353,KRW
B0033,도서 033,경제경영,마출판사,40000,291,KRW
B0034,도서 034,소설,거출판사,44000,555,KRW
B0035,도서 035,인문,차출판사,31000,504,KRW
B0036,도서 036,여행,타출판사,28000,362,KRW
B0037,도서 037,과학,다출판사,20000,299,KRW
B0038,도서 038,과학,사출판사,32000,198,KRW
B0039,도서 039,경제경영,하출판사,30000,483,KRW
