item_id,order_id,book_id,quantity,unit_price,line_total
I000001,O00001,B0158,1,26000,26000
I000002,O00001,B0082,2,23000,46000
I000003,O00002,B0150,1,15000,15000
I000004,O00003,B0091,1,35000,35000
I000005,O00003,B0188,3,33000,99000
I000006,O00003,B0176,3,38000,114000
I000007,O00003,B0192,1,40000,40000
I000008,O00004,B0008,1,36000,36000
I000009,O00004,B0166,2,43000,86000
I000010,O00005,B0113,1,40000,40000
I000011,O00005,B0094,1,29000,29000
I000012,O00006,B0131,1,16000,16000
I000013,O00006,B0038,1,32000,32000
I000014,O00006,B0068,1,36000,36000
I000015,O00006,B0092,1,18000,18000
I000016,O00007,B0173,3,31000,93000
I000017,O00008,B0179,1,33000,33000
I000018,O00009,B0077,1,14000,14000
I000019,O00009,B0174,1,31000,31000
I000020,O00009,B0073,3,11000,33000
I000021,O00010,B0033,1,40000,40000
I000022,O00010,B0114,3,36000,108000
I000023,O00011,B0072,3,29000,87000
I000024,O00011,B0025,2,41000,82000
I000025,O00011,B0059,1,20000,20000
I000026,O00011,B0018,1,25000,25000
I000027,O00012,B0193,1,26000,26000
I000028,O00012,B0128,1,30000,30000
I000029,O00012,B0067,1,35000,35000
I000030,O00012,B0028,3,36000,108000
I000031,O00013,B0138,2,40000,80000
I000032,O00014,B0016,2,19000,38000
I000033,O00014,B0121,1,15000,15000
I000034,O00014,B0190,1,37000,37000
I000035,O00014,B0142,1,43000,43000
I000036,O00015,B0093,1,15000,15000
I000037,O00016,B0036,1,28000,28000
I000038,O00016,B0094,1,29000,29000
I000039,O00016,B0184,2,41000,82000
I000040,O00017,B0056,1,15000,15000
I000041,O00017,B0063,2,28000,56000
I000042,O00017,B0072,1,29000,29000
I000043,O00018,B0200,1,44000,44000
I000044,O00018,B0042,1,22000,22000
I000045,O00018,B0083,1,20000,20000
I000046,O00018,B0138,1,40000,40000
I000047,O00019,B0145,3,40000,120000
I000048,O00019,B0006,1,16000,16000
I000049,O00019,B0200,1,44000,44000
I000050,O00020,B0178,1,11000,11000
I000051,O00021,B0188,1,33000,33000
I000052,O00021,B0032,1,33000,33000
I000053,O00022,B0039,3,30000,90000
I000054,O00022,B0018,3,25000,75000
I000055,O00023,B0055,1,14000,14000
I000056,O00023,B0020,1,34000,34000
I000057,O00023,B0077,1,14000,14000
I000058,O00023,B0150,3,15000,45000
I000059,O00024,B0070,2,26000,52000
I000060,O00025,B0079,1,25000,25000
I000061,O00025,B0161,3,30000,90000
I000062,O00026,B0130,3,37000,111000
I000063,O00026,B0041,3,27000,81000
I000064,O00026,B0123,1,41000,41000
I000065,O00026,B0169,2,24000,48000
I000066,O00027,B0089,1,44000,44000
I000067,O00028,B0022,2,22000,44000
I000068,O00029,B0177,1,24000,24000
I000069,O00030,B0178,1,11000,11000
I000070,O00030,B0005,3,9000,27000
I000071,O00031,B0014,1,29000,29000
I000072,O00031,B0006,3,16000,48000
I000073,O00032,B0095,1,9000,9000
I000074,O00032,B0130,1,37000,37000
I000075,O00033,B0143,1,24000,24000
I000076,O00034,B0005,1,9000,9000
I000077,O00035,B0051,1,9000,9000
I000078,O00036,B0096,2,34000,68000
I000079,O00036,B0117,1,25000,25000
I000080,O00037,B0113,1,40000,40000
I000081,O00038,B0102,2,39000,78000
I000082,O00038,B0172,1,42000,42000
I000083,O00039,B0008,2,36000,72000
I000084,O00039,B0100,1,15000,15000
I000085,O00039,B0076,1,9000,9000
I000086,O00039,B0056,1,15000,15000
I000087,O00040,B0100,1,15000,15000
I000088,O00040,B0133,2,9000,18000
I000089,O00041,B0017,1,17000,17000
I000090,O00041,B0120,1,38000,38000
I000091,O00041,B0181,1,30000,30000
I000092,O00041,B0073,1,11000,11000
I000093,O00042,B0084,1,31000,31000
I000094,O00042,B0131,1,16000,16000
I000095,O00043,B0188,3,33000,99000
I000096,O00043,B0129,1,38000,38000
I000097,O00043,B0021,2,18000,36000
I000098,O00044,B0017,1,17000,17000
I000099,O00045,B0132,1,34000,34000
I000100,O00046,B0134,1,29000,29000
I000101,O00046,B0017,1,17000,17000
I000102,O00046,B0055,3,14000,42000
I000103,O00046,B0083,1,20000,20000
I000104,O00047,B0193,3,26000,78000
I000105,O00048,B0115,1,9000,9000
I000106,O00048,B0086,1,21000,21000
I000107,O00048,B0155,1,41000,41000
I000108,O00048,B0170,3,34000,102000
I000109,O00049,B0126,1,28000,28000
I000110,O00050,B0001,2,13000,26000
I000111,O00050,B0030,2,9000,18000
I000112,O00051,B0141,1,13000,13000
I000113,O00051,B0041,1,27000,27000
I000114,O00052,B0077,1,14000,14000
I000115,O00052,B0186,1,35000,35000
I000116,O00053,B0183,2,22000,44000
I000117,O00054,B0082,1,23000,23000
I000118,O00054,B0057,2,42000,84000
I000119,O00054,B0088,1,43000,43000
I000120,O00055,B0154,1,28000,28000
I000121,O00055,B0073,2,11000,22000
I000122,O00055,B0126,3,28000,84000
I000123,O00056,B0186,3,35000,105000
I000124,O00056,B0113,1,40000,40000
I000125,O00056,B0002,2,13000,26000
I000126,O00057,B0167,1,24000,24000
I000127,O00057,B0123,1,41000,41000
I000128,O00058,B0155,1,41000,41000
I000129,O00058,B0076,1,9000,9000
I000130,O00058,B0104,1,40000,40000
I000131,O00059,B0021,1,18000,18000
I000132,O00060,B0022,1,22000,22000
I000133,O00060,B0190,2,37000,74000
I000134,O00060,B0101,1,31000,31000
I000135,O00061,B0107,1,31000,31000
I000136,O00061,B0159,1,17000,17000
I000137,O00062,B0100,1,15000,15000
I000138,O00062,B0190,1,37000,37000
I000139,O00062,B0154,1,28000,28000
I000140,O00062,B0053,2,9000,18000
I000141,O00063,B0100,1,15000,15000
I000142,O00063,B0056,1,15000,15000
I000143,O00063,B0032,1,33000,33000
I000144,O00063,B0074,1,34000,34000
I000145,O00064,B0161,1,30000,30000
I000146,O00064,B0003,3,29000,87000
I000147,O00065,B0031,2,15000,30000
I000148,O00065,B0173,3,31000,93000
I000149,O00065,B0085,2,39000,78000
I000150,O00065,B0022,1,22000,22000
I000151,O00066,B0191,1,19000,19000
I000152,O00066,B0197,2,28000,56000
I000153,O00066,B0178,1,11000,11000
I000154,O00067,B0182,1,17000,17000
I000155,O00067,B0171,3,35000,105000
I000156,O00068,B0131,1,16000,16000
I000157,O00068,B0114,1,36000,36000
I000158,O00068,B0164,2,31000,62000
I000159,O00069,B0076,2,9000,18000
I000160,O00069,B0116,2,44000,88000
I000161,O00070,B0042,1,22000,22000
I000162,O00070,B0104,1,40000,40000
I000163,O00070,B0150,2,15000,30000
I000164,O00071,B0169,3,24000,72000
I000165,O00071,B0163,1,29000,29000
I000166,O00071,B0136,3,41000,123000
I000167,O00071,B0054,2,18000,36000
I000168,O00072,B0174,1,31000,31000
I000169,O00072,B0004,1,37000,37000
I000170,O00072,B0159,1,17000,17000
I000171,O00073,B0087,1,22000,22000
I000172,O00074,B0016,3,19000,57000
