order_id,customer_id,order_date,channel,payment_method,coupon_code
O00001,C0372,2023-05-01,앱,간편결제,
O00002,C0341,2023-11-27,웹,카드,
O00003,C0191,2023-10-18,웹,카드,
O00004,C0044,2023-03-01,웹,간편결제,
O00005,C0132,2023-06-23,웹,계좌이체,
O00006,C0227,2023-11-13,앱,카드,
O00007,C0205,2023-06-09,앱,계좌이체,
O00008,C0072,2023-04-04,앱,카드,
O00009,C0388,2023-12-08,앱,계좌이체,
O00010,C0398,2023-03-06,웹,계좌이체,
O00011,C0362,2023-10-04,웹,간편결제,
O00012,C0297,2023-04-20,앱,간편결제,
O00013,C0248,2023-03-24,앱,간편결제,
O00014,C0261,2023-09-15,앱,카드,
O00015,C0178,2023-12-14,앱,계좌이체,
O00016,C0101,2023-11-01,웹,카드,
O00017,C0349,2023-06-14,앱,계좌이체,
O00018,C0134,2023-11-27,앱,간편결제,WELCOME
O00019,C0071,2023-10-10,웹,계좌이체,
O00020,C0062,2023-03-17,웹,계좌이체,WELCOME
O00021,C0188,2023-10-06,웹,카드,SPRING
O00022,C0354,2023-09-19,웹,간편결제,
O00023,C0178,2023-10-17,웹,계좌이체,
O00024,C0061,2023-06-22,제휴몰,카드,
O00025,C0350,2023-08-26,웹,카드,
O00026,C0211,2023-02-26,제휴몰,계좌이체,
O00027,C0242,2023-08-15,웹,간편결제,
O00028,C0312,2023-10-09,웹,계좌이체,WELCOME
O00029,C0291,2023-09-11,제휴몰,카드,SPRING
O00030,C0216,2023-08-05,앱,카드,
O00031,C0091,2023-10-02,제휴몰,계좌이체,
O00032,C0174,2023-03-01,앱,계좌이체,SPRING
O00033,C0231,2023-11-06,웹,카드,
O00034,C0049,2023-09-16,제휴몰,카드,
O00035,C0301,2023-05-26,앱,카드,
O00036,C0179,2023-11-20,웹,카드,WELCOME
O00037,C0259,2023-03-15,제휴몰,카드,WELCOME
O00038,C0115,2023-05-23,앱,간편결제,
O00039,C0156,2023-02-05,앱,카드,
O00040,C0100,2023-02-10,앱,간편결제,
O00041,C0326,2023-06-06,웹,카드,
O00042,C0200,2023-10-04,앱,카드,
O00043,C0311,2023-10-01,앱,계좌이체,
O00044,C0380,2023-11-28,웹,계좌이체,
