member_id,join_date,cancel_date,plan,age,gender,referred_by
M0001,2024-07-26,,12개월,52,남,
M0002,2024-05-21,,6개월,39,여,
M0003,2024-02-20,,1개월,37,여,
M0004,2024-06-26,,6개월,60,여,
M0005,2024-10-11,,1개월,56,여,
M0006,2024-06-23,,6개월,52,여,M0013
M0007,2024-06-25,,12개월,50,여,
M0008,2024-07-25,,6개월,45,남,M0033
M0009,2024-09-06,,12개월,28,남,
M0010,2024-10-23,2024-12-08,1개월,51,남,
M0011,2024-02-19,,12개월,51,남,M0026
M0012,2024-09-14,,12개월,37,남,M0057
M0013,2024-07-21,2024-11-17,12개월,23,여,
M0014,2024-05-06,,6개월,31,남,
M0015,2024-01-24,,6개월,46,여,
M0016,2024-01-03,2024-10-12,6개월,19,남,
M0017,2024-03-01,,12개월,53,여,
M0018,2024-03-18,,12개월,28,남,
M0019,2024-01-18,,6개월,25,여,
M0020,2024-02-06,,12개월,32,여,
M0021,2024-10-24,2024-12-09,12개월,21,여,
M0022,2024-01-15,,1개월,24,여,
M0023,2024-07-02,,6개월,64,여,
M0024,2024-10-11,,6개월,48,여,
M0025,2024-01-05,,6개월,60,남,
M0026,2024-03-17,,6개월,63,여,
M0027,2024-08-20,,12개월,40,남,
M0028,2024-05-15,2024-09-01,12개월,64,여,
M0029,2024-03-14,,1개월,42,남,
M0030,2024-04-21,,12개월,25,남,
M0031,2024-01-10,,12개월,36,남,
M0032,2024-01-05,2024-10-06,1개월,45,남,
M0033,2024-02-03,,6개월,38,남,
M0034,2024-03-19,2024-12-27,6개월,20,여,
M0035,2024-04-27,,12개월,30,여,
M0036,2024-07-22,,6개월,34,남,
M0037,2024-05-12,,6개월,57,남,
M0038,2024-01-17,,6개월,31,여,
M0039,2024-01-25,2024-03-23,1개월,53,여,
M0040,2024-04-09,2024-10-23,12개월,61,여,
M0041,2024-03-23,2024-07-03,12개월,35,여,
M0042,2024-05-27,2024-12-07,12개월,43,여,
M0043,2024-02-24,,6개월,19,남,
M0044,2024-03-11,,12개월,21,남,
M0045,2024-10-15,,6개월,29,여,
M0046,2024-04-03,,12개월,56,남,M0003
M0047,2024-10-11,2024-12-13,12개월,29,여,
M0048,2024-07-25,,12개월,51,여,M0053
M0049,2024-03-06,,6개월,37,남,
M0050,2024-05-12,,12개월,42,여,
M0051,2024-04-14,,1개월,39,남,
M0052,2024-03-25,,6개월,55,남,M0033
M0053,2024-04-06,,1개월,26,여,
M0054,2024-04-09,,6개월,45,남,
M0055,2024-09-02,,6개월,30,여,
M0056,2024-03-10,,6개월,56,남,M0054
M0057,2024-06-16,,1개월,61,남,M0008
M0058,2024-05-26,2024-12-22,6개월,26,남,
M0059,2024-01-16,2024-07-01,6개월,38,여,
M0060,2024-10-26,,1개월,37,남,M0014
M0061,2024-02-13,,12개월,30,여,
M0062,2024-02-08,2024-07-02,6개월,42,여,
M0063,2024-09-06,2024-12-18,6개월,32,남,
M0064,2024-05-22,,12개월,46,여,
M0065,2024-04-13,2024-09-01,6개월,24,여,
M0066,2024-01-16,,1개월,39,여,
M0067,2024-09-21,2024-12-16,1개월,46,여,M0028
M0068,2024-03-08,,12개월,48,남,
M0069,2024-01-02,2024-06-18,6개월,21,남,
M0070,2024-08-03,,12개월,30,여,
M0071,2024-04-17,,1개월,37,남,M0039
M0072,2024-05-11,2024-08-17,1개월,43,여,
M0073,2024-04-26,,1개월,37,여,
M0074,2024-09-01,2024-12-04,6개월,26,남,
M0075,2024-02-15,,12개월,56,여,
M0076,2024-02-23,,12개월,47,남,
M0077,2024-09-13,,6개월,37,남,
M0078,2024-03-17,,1개월,33,여,
M0079,2024-05-08,2024-12-10,12개월,63,남,M0011
M0080,2024-01-03,,6개월,47,남,
M0081,2024-04-18,,1개월,20,여,
M0082,2024-05-17,,6개월,55,여,
M0083,2024-08-22,2024-12-07,6개월,48,남,
M0084,2024-06-03,2024-11-03,1개월,19,여,
M0085,2024-06-17,,6개월,27,남,
M0086,2024-01-26,,1개월,59,남,
M0087,2024-07-08,2024-12-05,1개월,53,여,
M0088,2024-10-09,,6개월,21,여,
M0089,2024-06-26,,12개월,58,남,M0048
M0090,2024-02-04,,6개월,52,여,
M0091,2024-01-10,,12개월,19,여,
M0092,2024-09-12,,1개월,41,여,M0014
M0093,2024-02-15,,6개월,59,남,
M0094,2024-09-14,,12개월,54,남,
M0095,2024-04-25,,12개월,28,남,
M0096,2024-02-17,2024-04-15,6개월,58,여,
M0097,2024-05-19,2024-07-20,6개월,55,남,
M0098,2024-02-23,,12개월,37,남,
M0099,2024-05-15,,12개월,56,여,
M0100,2024-01-26,,6개월,42,여,
M0101,2024-05-24,,1개월,39,여,
M0102,2024-03-05,,12개월,24,남,
M0103,2024-05-24,,6개월,62,여,
M0104,2024-09-11,,6개월,61,여,
M0105,2024-03-06,2024-11-13,1개월,30,여,
M0106,2024-09-03,,1개월,59,남,
M0107,2024-04-23,,6개월,30,남,
M0108,2024-01-10,,6개월,27,남,
M0109,2024-09-01,,12개월,30,남,
M0110,2024-03-25,,6개월,41,여,M0042
M0111,2024-01-08,2024-03-02,12개월,28,여,
