member_id,year_month,visit_count,pt_session_count,avg_stay_min
M0001,2024-07,7,0,69.9
M0001,2024-08,12,1,57.1
M0001,2024-09,7,1,54.6
M0001,2024-10,8,0,71.9
M0001,2024-11,8,0,44.4
M0001,2024-12,15,0,63.0
M0002,2024-05,11,0,69.0
M0002,2024-06,7,0,46.8
M0002,2024-07,6,0,60.5
M0002,2024-08,11,0,43.0
M0002,2024-09,9,0,69.3
M0002,2024-10,14,0,38.4
M0002,2024-11,4,0,41.8
M0002,2024-12,8,0,58.3
M0003,2024-02,6,0,51.4
M0003,2024-03,6,3,49.6
M0003,2024-04,13,3,38.2
M0003,2024-05,8,1,72.0
M0003,2024-06,4,0,64.6
M0003,2024-07,3,0,59.4
M0003,2024-08,12,0,72.6
M0003,2024-09,9,0,48.9
M0003,2024-10,12,0,60.4
M0003,2024-11,8,0,68.5
M0003,2024-12,6,1,60.2
M0004,2024-06,12,0,52.6
M0004,2024-07,10,2,74.7
M0004,2024-08,10,0,49.2
M0004,2024-09,19,0,88.6
M0004,2024-10,15,0,85.7
M0004,2024-11,6,0,56.4
M0004,2024-12,9,0,45.7
M0005,2024-10,14,3,66.3
M0005,2024-11,4,2,51.9
M0005,2024-12,10,0,80.0
M0006,2024-06,6,0,38.0
M0006,2024-07,5,1,62.5
M0006,2024-08,11,0,54.2
M0006,2024-09,8,0,58.7
M0006,2024-10,10,0,37.9
M0006,2024-11,8,0,61.8
M0006,2024-12,15,1,56.2
M0007,2024-06,9,2,51.8
M0007,2024-07,15,0,50.4
M0007,2024-08,9,2,49.7
M0007,2024-09,7,0,75.3
M0007,2024-10,8,0,49.2
M0007,2024-11,7,0,69.5
M0007,2024-12,5,0,55.7
M0008,2024-07,7,0,67.1
M0008,2024-08,7,0,69.2
M0008,2024-09,12,0,88.3
M0008,2024-10,13,1,73.0
M0008,2024-11,7,1,61.5
M0008,2024-12,11,0,65.7
M0009,2024-09,15,1,50.2
M0009,2024-10,6,0,54.5
M0009,2024-11,14,4,36.7
M0009,2024-12,6,0,75.2
M0010,2024-10,10,1,66.9
M0010,2024-11,1,0,68.2
M0010,2024-12,2,0,37.1
M0011,2024-02,8,0,81.4
M0011,2024-03,11,0,47.5
M0011,2024-04,9,3,26.9
M0011,2024-05,13,0,85.9
M0011,2024-06,12,1,55.5
M0011,2024-07,8,0,72.8
M0011,2024-08,12,0,54.1
M0011,2024-09,8,0,37.7
M0011,2024-10,4,1,55.4
M0011,2024-11,11,3,54.5
M0011,2024-12,9,0,41.5
M0012,2024-09,11,1,60.0
M0012,2024-10,11,0,72.7
M0012,2024-11,8,0,69.8
M0012,2024-12,10,0,71.9
M0013,2024-07,9,1,43.8
M0013,2024-08,5,1,54.3
M0013,2024-09,6,0,43.3
M0013,2024-10,2,0,72.7
M0013,2024-11,2,1,55.5
M0014,2024-05,8,0,55.3
M0014,2024-06,6,0,85.5
M0014,2024-07,7,0,78.1
M0014,2024-08,9,0,45.2
M0014,2024-09,9,0,60.5
M0014,2024-10,6,0,74.2
M0014,2024-11,7,0,60.2
M0014,2024-12,12,0,49.1
M0015,2024-01,8,3,62.5
M0015,2024-02,5,0,61.2
M0015,2024-03,8,0,90.0
M0015,2024-04,19,0,55.0
M0015,2024-05,8,4,67.7
M0015,2024-06,11,0,44.5
M0015,2024-07,7,0,63.0
M0015,2024-08,9,0,46.9
M0015,2024-09,9,0,40.4
M0015,2024-10,9,0,74.0
M0015,2024-11,5,0,66.7
M0015,2024-12,5,0,74.6
M0016,2024-01,10,0,40.1
M0016,2024-02,7,0,60.1
M0016,2024-03,10,0,65.0
M0016,2024-04,9,0,66.3
M0016,2024-05,9,1,70.0
M0016,2024-06,5,1,48.5
M0016,2024-07,6,0,93.2
M0016,2024-08,10,0,44.6
M0016,2024-09,4,0,75.2
M0016,2024-10,2,0,69.5
M0017,2024-03,9,0,74.3
M0017,2024-04,9,0,92.5
M0017,2024-05,9,0,87.7
M0017,2024-06,9,0,55.4
M0017,2024-07,10,0,76.2
M0017,2024-08,7,1,89.9
M0017,2024-09,2,2,47.9
M0017,2024-10,10,0,62.5
M0017,2024-11,7,0,80.4
M0017,2024-12,10,1,57.2
M0018,2024-03,4,0,75.7
M0018,2024-04,8,0,47.5
M0018,2024-05,10,0,59.1
M0018,2024-06,9,0,69.1
M0018,2024-07,3,0,56.2
M0018,2024-08,8,0,64.4
M0018,2024-09,13,0,53.9
M0018,2024-10,7,0,32.2
M0018,2024-11,6,0,51.4
M0018,2024-12,8,1,57.0
M0019,2024-01,9,0,46.5
M0019,2024-02,10,0,93.9
M0019,2024-03,13,0,57.6
M0019,2024-04,10,1,54.3
M0019,2024-05,10,0,72.7
M0019,2024-06,8,0,64.7
M0019,2024-07,8,1,50.7
M0019,2024-08,12,0,63.3
M0019,2024-09,14,3,72.8
M0019,2024-10,11,0,53.6
M0019,2024-11,6,0,56.3
M0019,2024-12,11,0,55.4
M0020,2024-02,9,0,39.1
M0020,2024-03,8,1,51.7
M0020,2024-04,9,0,59.1
M0020,2024-05,6,4,68.2
M0020,2024-06,7,0,61.9
M0020,2024-07,9,1,63.0
M0020,2024-08,8,2,96.9
M0020,2024-09,8,0,36.1
M0020,2024-10,11,0,57.9
M0020,2024-11,14,0,55.8
M0020,2024-12,10,0,45.1
M0021,2024-10,11,0,61.0
M0021,2024-11,3,1,66.5
M0021,2024-12,2,0,61.7
M0022,2024-01,8,0,72.0
M0022,2024-02,11,0,59.1
M0022,2024-03,8,0,48.7
M0022,2024-04,13,0,104.1
M0022,2024-05,10,1,71.5
M0022,2024-06,12,0,72.8
M0022,2024-07,9,3,49.9
M0022,2024-08,8,0,75.1
M0022,2024-09,9,0,79.7
M0022,2024-10,12,2,57.6
M0022,2024-11,6,0,90.3
