applicant_id,department,gender,experience_years,test_score,interview_round,hired
A0460,영업,남,2.2,76.7,3,1
A0458,영업,남,7.9,79.0,3,1
A1023,마케팅,여,4.8,60.8,1,0
A0142,개발,남,3.2,61.5,2,1
A0669,디자인,여,4.3,75.0,1,0
A1012,마케팅,여,3.3,46.2,2,0
A0152,개발,남,1.5,59.2,3,1
A0831,디자인,여,4.0,71.5,2,1
A0751,디자인,여,4.1,53.5,2,0
A0047,개발,남,2.9,78.5,2,1
A1133,마케팅,여,3.5,70.7,2,0
A0129,개발,남,4.5,65.9,3,1
A0035,개발,남,3.6,68.2,2,1
A0281,개발,남,2.5,75.9,2,0
A0595,영업,여,4.8,68.0,3,1
A0722,디자인,여,5.4,64.2,1,0
A1129,마케팅,여,8.3,80.1,2,0
A0400,영업,남,4.3,85.9,3,1
A0695,디자인,여,6.8,66.5,3,1
A0110,개발,남,4.0,64.9,1,1
A0670,디자인,여,5.5,66.9,3,1
A0888,디자인,여,9.4,69.2,2,0
A0475,영업,남,4.3,63.8,3,1
A1164,마케팅,여,5.9,50.5,3,0
A0545,영업,남,7.6,72.3,3,0
A0052,개발,남,7.4,59.9,3,1
A1188,마케팅,여,4.5,62.7,1,0
A1125,마케팅,여,2.4,57.2,3,0
A0842,디자인,여,8.5,51.3,1,0
A0187,개발,남,1.7,76.5,1,1
A0319,개발,여,5.8,78.4,3,1
A0141,개발,남,1.8,76.1,3,1
A0944,마케팅,남,7.1,70.0,2,1
A0970,마케팅,여,7.9,90.4,1,0
A0064,개발,남,2.2,66.9,2,0
A1167,마케팅,여,2.5,84.4,2,1
A0757,디자인,여,5.2,72.0,3,0
A0811,디자인,여,5.8,40.9,2,0
A0099,개발,남,0.0,80.4,2,1
A0190,개발,남,2.5,78.8,1,1
A0621,디자인,남,6.4,78.3,3,0
A0221,개발,남,0.0,59.8,2,1
A0976,마케팅,여,8.8,59.4,2,0
A0408,영업,남,4.9,88.4,2,1
A1068,마케팅,여,4.7,57.7,3,0
A1175,마케팅,여,2.6,67.6,1,0
A0335,개발,여,6.0,64.2,2,1
A0532,영업,남,2.7,73.9,1,1
A0682,디자인,여,6.4,56.9,3,1
A0340,개발,여,7.1,67.3,1,0
A0558,영업,여,3.4,54.6,1,0
A0654,디자인,여,6.4,54.4,1,0
A0114,개발,남,3.4,69.4,2,1
A0375,영업,남,2.0,38.5,2,1
A0217,개발,남,9.2,75.3,3,1
A0813,디자인,여,3.8,70.2,1,0
A0368,영업,남,1.3,58.2,1,0
A1106,마케팅,여,7.4,83.6,1,1
A1086,마케팅,여,7.0,73.0,1,0
A0998,마케팅,여,4.3,69.6,1,0
